sensor;locationId;altitude;lat;long;value;dateOriginal;date
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9525207;1676955600000;21/02/2023 5:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7858385;1676959200000;21/02/2023 6:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.77954;1676962800000;21/02/2023 7:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7386196;1676966400000;21/02/2023 8:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6353382;1676970000000;21/02/2023 9:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6540166;1676973600000;21/02/2023 10:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6043382;1676977200000;21/02/2023 11:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5251777;1676980800000;21/02/2023 12:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6137345;1676984400000;21/02/2023 13:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6955961;1676988000000;21/02/2023 14:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7713567;1676991600000;21/02/2023 15:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9171997;1676995200000;21/02/2023 16:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.051.296;1676998800000;21/02/2023 17:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.010.229;1677002400000;21/02/2023 18:00
